,addresses,zip,lat,long,short-zip
2950,6785 Cagnon Rd,78252,29.364406,-98.707278,78252
2951,3439 Roosevelt Ave,78214-2605,29.357523,-98.481261,78214
2952,1102 Yucca,78220,29.409495,-98.422649,78220
2953,1017 Mulberry Ave E,78209-7022,29.454046,-98.470762,78209
2954,1800 Wheatley Ave,78220,29.406441,-98.424998,78220
2955,500 St Agatha,78207,29.416083,-98.532285,78207
2956,1602 Hedges,78203-2152,29.414028,-98.444675,78203
2957,5014 Prue Rd,78240-1337,29.543667,-98.582211,78240
2958,307 Spofford,78208-1542,29.439355,-98.463195,78208
2959,1707 Hermine Blvd,78201-2322,29.482567,-98.522791,78201
2960,7322 Jones Maltsberger Rd,78209-1870,29.497758,-98.480447,78209
2961,7860 Micron Dr,78251-2432,29.460952,-98.648199,78251
2962,900 General Mcmullen N,78228,29.448645,-98.551655,78228
2963,238 Cicero,78218-2531,29.5001,-98.415606,78218
2964,1631 Harness Ln,78227-1607,29.416369,-98.647051,78227
2965,914 Alamo St S,78205-3419,29.415037,-98.490036,78205
2966,914 36Th St Nw,78228-5935,29.441467,-98.57065,78228
2967,4100 Diamondhead Dr,78218-3421,29.495715,-98.414009,78218
2968,10014 Broadway,78215,29.44005,-98.477843,78215
2969,3400 Oakdale,78229-2402,29.502153,-98.55045,78229
2970,7803 Melbury Forest,78239-3202,29.505129,-98.365324,78239
2971,7426 Quail Run,78209-3129,29.501031,-98.438348,78209
2972,615 Amber E,78221-2404,29.345156,-98.486533,78221
2973,710 36Th St Nw,78237-2608,29.419796,-98.573368,78237
2974,12202 Bulverde Rd,78217-2306,29.551826,-98.41251,78217
2975,700 Barclay,78207-5737,29.417394,-98.542117,78207
2976,12208 Bulverde Rd,78217-2306,29.552435,-98.412114,78217
2977,4400 Evans Rd E,78259-2321,29.645861,-98.404863,78259
2978,1400 Currency,78219-2610,29.442746,-98.416415,78219
2979,203 Loop 410 Sw,78245-2167,29.438244,-98.642889,78245
2980,5251 Timberhill Dr,78238-3531,29.482848,-98.629521,78238
2981,8307 Quail Creek Dr,78218-1504,29.513454,-98.416168,78218
2982,6014 Lake Kemp,78222-2409,29.388784,-98.374791,78222
2983,2200 Martin St W,78207-2258,29.431169,-98.516587,78207
2984,115 Mimosa Dr,78213-2105,29.525726,-98.523769,78213
2985,12801 Wetmore Rd,78247-3628,29.556821,-98.425554,78247
2986,15000 Country Morning,78247-3328,29.57533,-98.438052,78247
2987,115 Mimosa Dr,78213-2105,29.525726,-98.523769,78213
2988,6903 Border Brook,78238-4014,29.471018,-98.62766,78238
2989,16800 Judson Rd,78247,29.594247,-98.382201,78247
2990,13403 Babcock Rd,78249-1949,29.569693,-98.631442,78249
2991,7402 Westrock Dr,78227-2700,29.403715,-98.635749,78227
2992,131 Amber W,78221-2706,29.344665,-98.505169,78221
2993,5627 Culebra Rd,78228-5625,29.448509,-98.597194,78228
2994,3 Ferris Creek,78254-5599,29.537904,-98.663706,78254
2995,2004 23Rd St,,29.425173,-98.494599,
2996,1900 Lennon Ave,78223-2562,29.371453,-98.466696,78223
2997,3487 Fredericksburg Rd,78201-3848,29.476768,-98.538279,78201
2998,7518 Cartwheel Ln,78227-2776,29.406466,-98.638547,78227
2999,4622 Hackberry St S,78223-1101,29.376397,-98.473406,78223
3000,6785 Cagnon Rd,78252,29.364406,-98.707278,78252
3001,6305 Cagnon Rd,78252,29.369882,-98.707294,78252
3002,200 Burr Rd,78209-6218,29.468217,-98.459335,78209
3003,430 Koehler Ct,78223-2917,29.366426,-98.459186,78223
3004,5909 Royalgate Dr,78242-1100,29.373643,-98.609986,78242
3005,7314 Desilu Dr,78240-2320,29.504874,-98.596283,78240
3006,300 Shrine,78221-1631,29.354019,-98.497015,78221
3007,6043 Stillwater Dr,78238-2740,29.490176,-98.636532,78238
3008,7400 Louisa Allen,78240-3612,29.530722,-98.634114,78240
